n_count, org_name
1744, "YEAST"
871, "GRAM NEGATIVE ROD(S)"
786, "ENTEROCOCCUS SP."
605, "PSEUDOMONAS AERUGINOSA"
529, "ESCHERICHIA COLI"
438, "KLEBSIELLA PNEUMONIAE"
392, "CORYNEBACTERIUM SPECIES (DIPHTHEROIDS)"
277, "GRAM NEGATIVE ROD #2"
230, "CLOSTRIDIUM DIFFICILE"
230, "ENTEROBACTER CLOACAE"
224, "PROBABLE ENTEROCOCCUS"
223, "CANDIDA ALBICANS, PRESUMPTIVE IDENTIFICATION"
173, "PROTEUS MIRABILIS"
156, "2ND ISOLATE"
135, "GRAM POSITIVE BACTERIA"
121, "YEAST, PRESUMPTIVELY NOT C. ALBICANS"
117, "BETA STREPTOCOCCI, NOT GROUP A"
117, "GRAM NEGATIVE ROD #1"
116, "ENTEROCOCCUS FAECIUM"
113, "STENOTROPHOMONAS (XANTHOMONAS) MALTOPHILIA"
112, "BETA STREPTOCOCCUS GROUP B"
110, "VIRIDANS STREPTOCOCCI"
110, "HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE NEGATIVE"
106, "CANDIDA ALBICANS"
102, "GRAM NEGATIVE ROD #3"
98, "SERRATIA MARCESCENS"
93, "ENTEROCOCCUS FAECALIS"
86, "KLEBSIELLA OXYTOCA"
85, "ACINETOBACTER BAUMANNII"
85, "BACTEROIDES FRAGILIS GROUP"
73, "STREPTOCOCCUS PNEUMONIAE"
73, "CANDIDA (TORULOPSIS) GLABRATA"
67, "ALPHA STREPTOCOCCI"
66, "PROTEUS SPECIES"
62, "ENTEROBACTER AEROGENES"
60, "LACTOBACILLUS SPECIES"
60, "NON-FERMENTER, NOT PSEUDOMONAS AERUGINOSA"
54, "ASPERGILLUS FUMIGATUS"
52, "CITROBACTER FREUNDII COMPLEX"
42, "GRAM POSITIVE RODS"
37, "PREVOTELLA SPECIES"
36, "HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE POSITIVE"
36, "GRAM POSITIVE COCCUS(COCCI)"
34, "MOLD"
32, "ACINETOBACTER BAUMANNII COMPLEX"
30, "HERPES SIMPLEX VIRUS TYPE 1"
27, "CANDIDA TROPICALIS"
27, "MORAXELLA CATARRHALIS"
27, "PRESUMPTIVE PEPTOSTREPTOCOCCUS SPECIES"
26, "MORGANELLA MORGANII"
26, "CANDIDA PARAPSILOSIS"
25, "HAEMOPHILUS SPECIES NOT INFLUENZAE"
25, "BETA STREPTOCOCCUS GROUP A"
24, "CITROBACTER KOSERI"
21, "VIRUS"
19, "GRAM NEGATIVE ROD #4"
17, "PROBABLE MICROCOCCUS SPECIES"
17, "BACILLUS SPECIES"
17, "PRESUMPTIVE STREPTOCOCCUS BOVIS"
15, "STREPTOCOCCUS MILLERI GROUP"
15, "BETA STREPTOCOCCUS GROUP G"
15, "PROVIDENCIA STUARTII"
15, "PRESUMPTIVE PROPIONIBACTERIUM ACNES"
14, "STREPTOCOCCUS ANGINOSUS (MILLERI) GROUP"
14, "ANAEROBIC GRAM POSITIVE ROD(S)"
14, "ENTEROBACTER SPECIES"
14, "NEISSERIA SPECIES"
13, "MORAXELLA CATARRHALIS, PRESUMPTIVE IDENTIFICATION"
12, "BETA STREPTOCOCCUS"
12, "BACILLUS SPECIES; NOT ANTHRACIS"
12, "RESEMBLING MICROCOCCUS/STOMATOCOCCUS SPECIES"
12, "ENTEROBACTERIACEAE"
12, "STREPTOCOCCUS SPECIES"
12, "KLEBSIELLA SPECIES"
11, "HAEMOPHILUS INFLUENZAE"
11, "GAMMA(I.E. NON-HEMOLYTIC) STREPTOCOCCUS"
11, "PRESUMPTIVE CLOSTRIDIUM PERFRINGENS"
10, "HERPES SIMPLEX VIRUS TYPE 2"
10, "NEISSERIA MENINGITIDIS"
10, "PROPIONIBACTERIUM ACNES"
9, "PROBABLE GARDNERELLA VAGINALIS"
9, "ANAEROBIC GRAM POSITIVE COCCUS(I)"
9, "PRESUMPTIVE VEILLONELLA SPECIES"
8, "HAFNIA ALVEI"
8, "BURKHOLDERIA (PSEUDOMONAS) CEPACIA"
8, "NUTRITIONALLY VARIANT STREPTOCOCCUS"
8, "POSITIVE FOR INFLUENZA A VIRAL ANTIGEN"
8, "STREPTOCOCCUS MILLERI"
8, "FUSOBACTERIUM NUCLEATUM"
8, "ENTEROBACTER CLOACAE COMPLEX"
7, "MORAXELLA (BRANHAMELLA) CATARRHALIS"
7, "BETA STREPTOCOCCUS NOT GROUP A OR B"
7, "VARICELLA-ZOSTER VIRUS"
7, "CLOSTRIDIUM SPECIES NOT C. PERFRINGENS OR C. SEPTICUM"
7, "AFB GROWN IN CULTURE; ADDITIONAL INFORMATION TO FOLLOW"
7, "PANTOEA SPECIES"
7, "ORGANISM"
6, "MYCOBACTERIUM AVIUM COMPLEX"
6, "ANAEROBIC GRAM NEGATIVE ROD(S)"
6, "CANDIDA GUILLIERMONDII"
6, "SERRATIA SPECIES"
6, "PROTEUS VULGARIS"
6, "CLOSTRIDIUM PERFRINGENS"
5, "CANDIDA LUSITANIAE"
5, "BURKHOLDERIA CEPACIA GROUP"
5, "HAEMOPHILUS SP"
5, "PENICILLIUM SPECIES"
5, "BETA STREPTOCOCCUS GROUP C"
5, "SCEDOSPORIUM APIOSPERMUM"
